window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
8,0.49477428571428567,0.0,0.12506253126563283,0.039696969696969696,0.014285714285714346,0.06533604721468349,0.062333745452595304,7500,500
9,0.48408694204338387,0.0,0.12294979341429824,0.039696969696969696,0.02892760224779367,0.06398098867249377,0.06129939698551881,7500,491
10,0.497573075281227,0.0,0.1207868688134319,0.039696969696969696,0.02052576126120266,0.06545592830213057,0.06024845708939643,7500,482
11,0.5007484697739013,0.0,0.12155388471177944,0.039696969696969696,0.02163846249935708,0.06470300644813123,0.06057182470117346,7500,485
12,0.5437019670717375,0.0,0.13663967611336034,0.059494949494949496,0.08828757334985016,0.08625104197597822,0.06604907051701901,7500,534
13,0.502260738932233,0.0,0.12750409474612573,0.049595959595959596,0.0319228724841889,0.06621962644826075,0.06324767024561391,7500,508
14,0.4933041178049568,0.0,0.120832288794184,0.039696969696969696,0.013659599677888101,0.06308561697626226,0.06025078532568548,7500,482
15,0.5119903009681697,0.0,0.12365456821026283,0.039696969696969696,0.05011840631685277,0.07349961189552896,0.06153573715844272,7500,494
16,0.522213233376867,0.0,0.1287779237844941,0.06939393939393938,0.06496392253222036,0.07291668325993408,0.06246372107386617,7500,502
17,0.4928969156779386,0.0,0.12053627364991856,0.01,0.017323042682780537,0.06578673661966812,0.060116117644858705,7500,481
18,0.4874101493270295,0.0,0.13037517138227595,0.01,0.01382197885376446,0.0707018675410156,0.06500356683099627,7500,523
19,0.5051199341299396,0.0,0.1344072489302794,0.049595959595959596,0.027895991943519216,0.07387945587083274,0.06669545338861027,7500,538
