roc_auc,f1,average_precision,n_samples,n_positives,window_index,drift_detected,model_retrained,error_rate,ssi
0.5029341094472949,0.1224330647257603,0.0678005418077437,7500,491,9,False,False,0.9002666666666667,
0.5134201442881317,0.12158841029621,0.0697828999889616,7500,482,10,False,False,0.9054666666666666,0.9901960784313728
0.5089676760402966,0.1222627737226277,0.0677512111295763,7500,485,11,False,False,0.8978666666666667,0.9914215686274512
0.4814400818959073,0.1305868635833657,0.0699265788176887,7500,534,12,False,False,0.8948,0.9918300653594772
0.4860056600118921,0.1248219603780914,0.0652630319466212,7500,508,13,False,False,0.9012,0.9926470588235295
0.4918582211243406,0.1197930142302716,0.0629034256192834,7500,482,14,False,False,0.9072,0.9921568627450984
0.4862555634788457,0.1235240690281562,0.0653170727132032,7500,494,15,False,False,0.9006666666666666,0.9941176470588236
0.5131116004686598,0.1256802280383519,0.0707406315265769,7500,502,16,False,False,0.8997333333333334,0.9916666666666668
0.5196355955723387,0.1198550349469324,0.0668560776903516,7500,481,17,False,False,0.9066666666666666,0.9897058823529412
0.4868643790263062,0.1292657704239917,0.066459542932283,7500,523,18,False,False,0.8981333333333333,0.9897058823529412
0.5083183911814427,0.1339354838709677,0.0729614603783749,7500,538,19,False,False,0.8949333333333334,0.9916666666666668
