window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
8,0.5103661428571429,0.12512512512512514,0.12722273143904675,0.6732323232323232,0.04242857142857148,0.06770141036078027,0.43526519158553173,7500,500
9,0.49297397381719577,0.12308849335673101,0.123042225285052,0.495050505050505,0.013332291127584273,0.06654389910788015,0.4356141047327732,7500,491
10,0.49696069029372014,0.12037617554858934,0.12080200501253133,0.45545454545454545,0.02744099641822037,0.06568194544548676,0.43661559232881686,7500,482
11,0.4986541358355806,0.1216606045403236,0.1227278587082635,0.6138383838383838,0.020570059739439053,0.06487111563044645,0.43533389809465745,7500,485
12,0.5277393353054591,0.13291770573566083,0.13566176470588234,0.6732323232323232,0.05537167687677225,0.07752836543144782,0.43289044719604924,7500,534
13,0.4986552404097371,0.12678169542385595,0.1271079788572867,0.5445454545454546,0.016398944125119372,0.06861990377532656,0.4346942495399109,7500,508
14,0.507524516093176,0.12092323130958355,0.12189675554971759,0.6336363636363637,0.028693850667341425,0.0702239881833675,0.4358576733343876,7500,482
15,0.5290189380762124,0.12374749498997996,0.12592867756315007,0.6732323232323232,0.05197338082684477,0.07437001713201151,0.4348842795352072,7500,494
16,0.5047675829975325,0.12567280010013768,0.12820872492635713,0.6534343434343434,0.03518762902092687,0.06811562636892286,0.435491160005569,7500,502
17,0.49356883706506166,0.12043658261196838,0.12080706179066834,0.5346464646464646,0.01251903431701129,0.06227157464326984,0.4356390260547042,7500,481
18,0.4886163797958383,0.13003868713340822,0.13074204946996468,0.5841414141414141,0.021082929954773566,0.0684188777637473,0.4341986355513313,7500,523
19,0.5017503409373668,0.1341645885286783,0.1345350052246604,0.6336363636363637,0.018286737669921366,0.07355161624991086,0.4329519743194776,7500,538
