roc_auc,f1,average_precision,n_samples,n_positives,window_index,drift_detected,model_retrained,error_rate,ssi
0.9644640808588528,0.7863247863247863,0.8047578500072586,32122,63,5,False,False,0.000778282796837,
0.9230404698946948,0.7012987012987013,0.667824153643067,31182,45,6,False,False,0.0007376050285421,0.9954887218045112
0.9664072426937738,0.8541666666666666,0.8416498041943375,31533,53,7,False,False,0.0004439793232486,0.9962406015037591
0.9285306942677136,0.8333333333333334,0.793021252476966,32269,48,8,False,False,0.0004338529238588,0.9969924812030074
0.8948850807693098,0.647887323943662,0.5713353267995882,35476,44,9,False,False,0.0007047017702108,0.9977443609022556
0.95180138029483,0.7142857142857143,0.6804631541203893,33934,42,10,False,False,0.0005893793835091,0.997593984962406
0.9797677246893364,0.6027397260273972,0.6946669964157666,20794,32,11,False,False,0.0013946330672309,0.9963909774436088
0.9927076821706736,0.6461538461538462,0.7532483003810171,9158,52,12,False,False,0.0050229307709106,0.9906766917293232
0.994351614990596,0.9256198347107438,0.965016264120552,5859,57,13,True,True,0.0046082949308755,0.9028655554971344
0.9833666947783412,0.6666666666666666,0.8044362608245694,8581,23,14,False,False,0.0023307306840694,0.8944445028655554
0.9850450732114012,0.2950819672131147,0.7491143236345157,19202,11,15,False,False,0.0022393500677012,0.8656342419190717
0.9536193524066188,0.3300970873786408,0.7534082458788027,29706,21,16,False,False,0.002322763078166,0.8579149436734577
0.9587764921302788,0.4067796610169492,0.736997128718711,32117,32,17,False,False,0.0021795310894541,0.8618247181095479
0.9528195258055556,0.4615384615384615,0.7726663659900277,32634,38,18,False,False,0.0021450021450021,0.9488839746424886
0.9695776530172548,0.5405405405405406,0.8394220580003514,34117,47,19,False,False,0.0019931412492305,0.9555506413091552
0.9869877870969342,0.6103896103896104,0.8535999898482575,33038,55,20,False,False,0.0018160905623827,0.9832080200501252
0.9771344561726806,0.5426356589147286,0.819454193262331,31671,42,21,False,False,0.0018629029711723,0.9903258145363408
