window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
6,0.9039829806906636,0.24980097302078727,0.5350993377483444,0.8811111111111111,0.6398833330261533,0.5615969505549047,0.15310883798369174,40325,1685
7,0.9085040808436992,0.26234621382775947,0.5460237946149029,0.8811111111111111,0.6529182102312721,0.5728424782781874,0.1501517467563461,41193,1789
8,0.9147171390744505,0.27164935808324475,0.5685884691848907,0.8811111111111111,0.6737299846630785,0.5963059114812826,0.1481267995883065,43966,1923
9,0.917083857295607,0.2613384078655249,0.5722958057395143,0.8811111111111111,0.6883396473552206,0.61600754931929,0.15581340402913837,43487,1876
10,0.9147526346821011,0.23426878159316716,0.5639810426540285,0.8811111111111111,0.686903985758152,0.5925404975774691,0.15489882042156944,41128,1556
11,0.90210076015477,0.22876498176133403,0.5505735140771637,0.891010101010101,0.6537608249090592,0.5635223468158741,0.15189458230163683,42566,1588
12,0.8845978017858183,0.22599937047529114,0.48704295349662763,0.9108080808080807,0.6131472125852442,0.4957036216499081,0.14779526471342117,49820,1796
13,0.8882018177549849,0.21013676588897828,0.46442234123947973,0.9009090909090909,0.621695542793353,0.47738157904907325,0.15076551484230583,48698,1602
14,0.9090609039801604,0.23088023088023088,0.5175341454411222,0.9009090909090909,0.6653363285855399,0.5289803508657571,0.15643149638129109,42160,1584
15,0.9118653537258189,0.2568069776260902,0.5476003147128246,0.8811111111111111,0.6704650401164178,0.5673712403477345,0.1689184400705183,41969,1935
16,0.9108721631418537,0.24998095818417243,0.5816389402341343,0.9207070707070707,0.6701638576609753,0.6042494022458397,0.1597025015011857,44653,1902
17,0.9011710331519892,0.21849292530437645,0.5501474926253688,0.9108080808080807,0.6471023926363979,0.5501065681215276,0.16179261432297876,42833,1560
18,0.8941791529711777,0.21577005243736647,0.4749679075738126,0.9009090909090909,0.631374945992217,0.45636601136045457,0.15692236061770226,37830,1338
19,0.884891148838895,0.19967171960992566,0.4344689378757515,0.8811111111111111,0.6185012294053692,0.4133625217679181,0.16285088799421946,37121,1250
20,0.883142238461594,0.19189690175655397,0.433587786259542,0.891010101010101,0.6121718650356917,0.4376284403344518,0.16673020063044267,39992,1299
21,0.8800741605193377,0.16340748950993586,0.4328289775332416,0.9207070707070707,0.5971004287197903,0.4347218689879215,0.18366499650932339,41254,1225
22,0.8799509399097417,0.1750263349809578,0.42975893599334997,0.9108080808080807,0.5984052100483411,0.41283503204178895,0.18003824434980603,40849,1294
23,0.8855506506455325,0.18635506973237845,0.4667931688804554,0.9108080808080807,0.6069316407383866,0.4562350477586311,0.1833937430989128,40979,1462
