roc_auc,f1,average_precision,n_samples,n_positives,window_index,drift_detected,model_retrained,error_rate,ssi
0.5177662179467248,0.0,0.0702429608900172,7500,491,9,False,False,0.0654666666666666,
0.5095479141366185,0.0,0.0717684458681982,7500,482,10,False,False,0.0642666666666666,0.9926470588235295
0.5039066506969602,0.0,0.0659332023257646,7500,485,11,False,False,0.0646666666666666,0.9889705882352944
0.470628875834578,0.0,0.0668075940344602,7500,534,12,False,False,0.0712,0.9869281045751634
0.4848665629110434,0.0,0.0661828242738023,7500,508,13,False,False,0.0677333333333333,0.9840686274509804
0.4969320147717369,0.0,0.0619189862080445,7500,482,14,False,False,0.0642666666666666,0.9848039215686274
0.502897458627134,0.0,0.0675219220334159,7500,494,15,False,False,0.0658666666666666,0.9852941176470588
0.4932355459556458,0.0,0.0681049884222657,7500,502,16,False,False,0.0669333333333333,0.9862745098039216
0.5147523546868182,0.0,0.0680701389480904,7500,481,17,False,False,0.0641333333333333,0.9867647058823532
0.4928778551542339,0.0,0.0683693445482386,7500,523,18,False,False,0.0697333333333333,0.9887254901960786
0.4999448679982358,0.0,0.0707118459783615,7500,538,19,False,False,0.0717333333333333,0.9882352941176472
