window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives,condition,model_retrained
9,0.5113315176094512,0.0,0.12296110414052698,0.0198989898989899,0.04126030570529188,0.06869125877408391,0.06170298776412071,7500,491,Full System,False
10,0.5156525484557197,0.0,0.12153058474804634,0.039696969696969696,0.05003376025371628,0.06745300823859851,0.060790836914117255,7500,482,Full System,False
11,0.512030920487027,0.0,0.1232932269839124,0.039696969696969696,0.039266373235555596,0.06701897787351925,0.061099921903947085,7500,485,Full System,False
12,0.5105309523732716,0.0,0.13293502613890965,0.01,0.038783884485478426,0.07378008607517691,0.06676285960035158,7500,534,Full System,False
13,0.48976079523955385,0.0,0.12723857232310581,0.0198989898989899,0.00788978179787023,0.06679452269745426,0.06393579377025699,7500,508,Full System,False
14,0.4920010074863806,0.0,0.12149770759042282,0.029797979797979796,0.0211708126938554,0.06393930590495746,0.06083436082748734,7500,482,Full System,False
15,0.5146909936075613,0.0,0.12396799187095135,0.029797979797979796,0.04674477977811961,0.07158898122559518,0.06203307128933319,7500,494,Full System,False
16,0.5333207040372377,0.0,0.12888746393074704,0.06939393939393938,0.06250220609417151,0.07682035754060529,0.06276363174487212,7500,502,Full System,False
17,0.5211724102591748,0.0,0.12455140384209415,0.059494949494949496,0.058678567440499374,0.07222396942375885,0.060352416319808685,7500,481,Full System,False
18,0.47549336511580936,0.0,0.1304076798404189,0.01,0.006691201437336702,0.06616933845007342,0.06578640595869148,7500,523,Full System,False
19,0.5113086014466209,0.0,0.1342315369261477,0.0198989898989899,0.03551088276346692,0.07625196137315146,0.0670920219560748,7500,538,Full System,False
9,0.5113315176094512,0.0,0.12296110414052698,0.0198989898989899,0.04126030570529188,0.06869125877408391,0.06170298776412071,7500,491,No Drift Detection,False
10,0.5156525484557197,0.0,0.12153058474804634,0.039696969696969696,0.05003376025371628,0.06745300823859851,0.060790836914117255,7500,482,No Drift Detection,False
11,0.4871443372449317,0.0,0.12089853609288238,0.01,0.01143793491119912,0.06302854347773454,0.06214698496924155,7500,485,No Drift Detection,True
12,0.4893260308765637,0.0,0.13358443188951663,0.01,0.012035988605973796,0.069176027834283,0.0678449141050518,7500,534,No Drift Detection,False
13,0.5023250700463071,0.0,0.1258019876714052,0.01,0.026640119641795357,0.06903040190637512,0.0645656256394686,7500,508,No Drift Detection,False
14,0.49661776652567374,0.0,0.12138084632516703,0.039696969696969696,0.022096706867580584,0.06482517564996482,0.06084963452285112,7500,482,No Drift Detection,True
15,0.5160796240584993,0.0,0.12435522096751708,0.039696969696969696,0.03505150588102045,0.0732434761297451,0.06192824335855911,7500,494,No Drift Detection,False
16,0.5156163001608883,0.0,0.1271660145332588,0.039696969696969696,0.03972905178371966,0.07066003971603049,0.06301108152058198,7500,502,No Drift Detection,False
17,0.4940654102215578,0.0,0.12064208678204164,0.01,0.013843920525784037,0.06329504201263013,0.06089956610403307,7500,481,No Drift Detection,True
18,0.49947546856360325,0.0038022813688212928,0.1308218294413624,0.029797979797979796,0.02640333398100453,0.07413181572848584,0.0655260370107415,7500,523,No Drift Detection,False
19,0.5160643706835514,0.007407407407407408,0.13724944320712695,0.039696969696969696,0.043056357987972915,0.07885037355264723,0.06700837633538775,7500,538,No Drift Detection,False
9,0.5113315176094512,0.0,0.12296110414052698,0.0198989898989899,0.04126030570529188,0.06869125877408391,0.06170298776412071,7500,491,No Adaptive Retraining,False
10,0.5156525484557197,0.0,0.12153058474804634,0.039696969696969696,0.05003376025371628,0.06745300823859851,0.060790836914117255,7500,482,No Adaptive Retraining,False
11,0.512030920487027,0.0,0.1232932269839124,0.039696969696969696,0.039266373235555596,0.06701897787351925,0.061099921903947085,7500,485,No Adaptive Retraining,False
12,0.5105309523732716,0.0,0.13293502613890965,0.01,0.038783884485478426,0.07378008607517691,0.06676285960035158,7500,534,No Adaptive Retraining,False
13,0.48976079523955385,0.0,0.12723857232310581,0.0198989898989899,0.00788978179787023,0.06679452269745426,0.06393579377025699,7500,508,No Adaptive Retraining,False
14,0.4920010074863806,0.0,0.12149770759042282,0.029797979797979796,0.0211708126938554,0.06393930590495746,0.06083436082748734,7500,482,No Adaptive Retraining,False
15,0.5146909936075613,0.0,0.12396799187095135,0.029797979797979796,0.04674477977811961,0.07158898122559518,0.06203307128933319,7500,494,No Adaptive Retraining,False
16,0.5333207040372377,0.0,0.12888746393074704,0.06939393939393938,0.06250220609417151,0.07682035754060529,0.06276363174487212,7500,502,No Adaptive Retraining,False
17,0.5211724102591748,0.0,0.12455140384209415,0.059494949494949496,0.058678567440499374,0.07222396942375885,0.060352416319808685,7500,481,No Adaptive Retraining,False
18,0.47549336511580936,0.0,0.1304076798404189,0.01,0.006691201437336702,0.06616933845007342,0.06578640595869148,7500,523,No Adaptive Retraining,False
19,0.5113086014466209,0.0,0.1342315369261477,0.0198989898989899,0.03551088276346692,0.07625196137315146,0.0670920219560748,7500,538,No Adaptive Retraining,False
9,0.5113315176094512,0.0,0.12296110414052698,0.0198989898989899,0.04126030570529188,0.06869125877408391,0.06170298776412071,7500,491,Static Baseline,False
10,0.5156525484557197,0.0,0.12153058474804634,0.039696969696969696,0.05003376025371628,0.06745300823859851,0.060790836914117255,7500,482,Static Baseline,False
11,0.512030920487027,0.0,0.1232932269839124,0.039696969696969696,0.039266373235555596,0.06701897787351925,0.061099921903947085,7500,485,Static Baseline,False
12,0.5105309523732716,0.0,0.13293502613890965,0.01,0.038783884485478426,0.07378008607517691,0.06676285960035158,7500,534,Static Baseline,False
13,0.48976079523955385,0.0,0.12723857232310581,0.0198989898989899,0.00788978179787023,0.06679452269745426,0.06393579377025699,7500,508,Static Baseline,False
14,0.4920010074863806,0.0,0.12149770759042282,0.029797979797979796,0.0211708126938554,0.06393930590495746,0.06083436082748734,7500,482,Static Baseline,False
15,0.5146909936075613,0.0,0.12396799187095135,0.029797979797979796,0.04674477977811961,0.07158898122559518,0.06203307128933319,7500,494,Static Baseline,False
16,0.5333207040372377,0.0,0.12888746393074704,0.06939393939393938,0.06250220609417151,0.07682035754060529,0.06276363174487212,7500,502,Static Baseline,False
17,0.5211724102591748,0.0,0.12455140384209415,0.059494949494949496,0.058678567440499374,0.07222396942375885,0.060352416319808685,7500,481,Static Baseline,False
18,0.47549336511580936,0.0,0.1304076798404189,0.01,0.006691201437336702,0.06616933845007342,0.06578640595869148,7500,523,Static Baseline,False
19,0.5113086014466209,0.0,0.1342315369261477,0.0198989898989899,0.03551088276346692,0.07625196137315146,0.0670920219560748,7500,538,Static Baseline,False
