window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
6,0.9099975118417899,0.5004382120946538,0.6167336499817319,0.22777777777777777,0.6569258344545404,0.6393814217447165,0.023613605219867884,40325,1685
7,0.9129204436205669,0.5260208166533227,0.6258023106546855,0.207979797979798,0.6664589697845011,0.6522795789752389,0.02362451390353253,41193,1789
8,0.9197859596709107,0.6028070175438597,0.6643377001455604,0.207979797979798,0.6896422649475491,0.6874451900777107,0.021943313926234758,43966,1923
9,0.9216113409818288,0.6332978345757898,0.680568720379147,0.25747474747474747,0.7037187610152494,0.7006440315848398,0.02061915965229258,43487,1876
10,0.9180841202668034,0.6050492083868207,0.6498493975903614,0.2673737373737374,0.6981757504527234,0.662450296968556,0.0193994443466437,41128,1556
11,0.9033483961966199,0.551337359792925,0.6166850422638736,0.24757575757575756,0.656906519723737,0.6236113027327668,0.020683619681141078,42566,1588
12,0.8859531931324611,0.4828990228013029,0.5597315436241611,0.22777777777777777,0.618232550391471,0.5636211258229832,0.021999824415370097,49820,1796
13,0.887296449974308,0.4437148217636023,0.5341753343239227,0.22777777777777777,0.6224414890763139,0.5398824528873067,0.020881940377673686,48698,1602
14,0.912379335423438,0.4791952446273434,0.577213452299245,0.19808080808080808,0.6744694579868081,0.5928120043932403,0.02228771764422039,42160,1584
15,0.9178639951906512,0.5564853556485355,0.6075874333135743,0.2673737373737374,0.6880561471070004,0.6285479090712807,0.025393675756141997,41969,1935
16,0.9119760353408327,0.6066643765029199,0.6371846776705077,0.31686868686868686,0.6775292777601134,0.6552962255692453,0.022048302890025507,44653,1902
17,0.9038986032341252,0.5491554785621481,0.5903361344537815,0.21787878787878787,0.6614800325785716,0.6112887871041178,0.02071128767087389,42833,1560
18,0.8990282203671562,0.4455179817498658,0.5354785478547854,0.207979797979798,0.6437907147410895,0.5269940950042453,0.02291101837019328,37830,1338
19,0.8858506983357028,0.42303172737955347,0.5022706630336058,0.22777777777777777,0.6162026595299824,0.4835458434967923,0.02272714193018044,37121,1250
20,0.8832458550815327,0.4532293986636971,0.49003815175922,0.22777777777777777,0.6054699906034767,0.4915362382865973,0.02167599534364369,39992,1299
21,0.8834624998916601,0.47214244686961515,0.48131974769529356,0.31686868686868686,0.6109320946395496,0.4885905427182179,0.02005601865108183,41254,1225
22,0.8833810043222348,0.4311377245508982,0.45458694659972615,0.30696969696969695,0.6122577156179342,0.4547180121848672,0.02246377863763536,40849,1294
23,0.8942398234329322,0.45590361445783134,0.4886316659776767,0.29707070707070704,0.6283483355636963,0.4972293242486733,0.023879690868144673,40979,1462
