roc_auc,f1,average_precision,n_samples,n_positives,window_index,drift_detected,model_retrained,error_rate,ssi
0.863698162146446,0.1988841483426321,0.4924164756120877,41193,1789,7,True,False,0.2962882043065569,
0.9304511233323772,0.2895315406730931,0.6623521324006113,43966,1923,8,True,True,0.4888322794886958,0.0
0.9199828775081462,0.2829974701212597,0.6462915799848817,43487,1876,9,True,True,0.2812794628279715,0.4296703296703297
0.9096125295156892,0.1778928097973612,0.5878987711388667,41128,1556,10,True,True,0.2205310250923944,0.5447802197802197
0.8922782704684075,0.2329658413157419,0.5354809180168915,42566,1588,11,True,True,0.2868956444110322,0.6444920275802629
0.875602983586158,0.1764052172895829,0.4781577939503257,49820,1796,12,True,True,0.3293857888398234,0.6034507649213532
0.8790906034731938,0.1311295772075609,0.4500439672866678,48698,1602,13,True,True,0.4212493326214629,0.7677364792070673
0.8930124950709779,0.1347183162478454,0.4908068301967425,42160,1584,14,True,True,0.5153937381404174,0.772296918767507
0.9188745574014026,0.2707102952913008,0.5867401378438544,41969,1935,15,True,True,0.4694893850222783,0.7096046110751992
0.9215086709651008,0.2279930749766946,0.6370533268858706,44653,1902,16,True,True,0.4373950238505811,0.6895065718595129
0.913429769073592,0.1959573273441886,0.5806793279643563,42833,1560,17,True,True,0.3694581280788177,0.7801840007257963
0.9162780133885232,0.2522383110423344,0.5429727671490601,37830,1338,18,True,True,0.2388051810732223,0.801192404087141
0.9011243065428898,0.2236912250773003,0.4832427574047624,37121,1250,19,True,True,0.2595565852213033,0.7433912836389618
0.9043485297014514,0.2246569731722301,0.4837381441342238,39992,1299,20,True,True,0.2307961592318463,0.7940247678018577
0.9044985650709356,0.1729913423416134,0.4966196440826961,41254,1225,21,True,True,0.1956901148979493,0.7989267285861714
0.9103434909660544,0.2453089244851258,0.4913940295218733,40849,1294,22,True,True,0.1507748047687825,0.7767647058823529
0.9109296482107632,0.2240752239865164,0.5354187575465043,40979,1462,23,True,True,0.2199419214719734,0.7100980392156864
