roc_auc,f1,average_precision,n_samples,n_positives,window_index,drift_detected,model_retrained,error_rate,ssi
0.7423759063143125,0.1055076544078831,0.3128625284527488,41193,1789,7,True,False,0.6170223096157114,
0.847493334121967,0.3152384203937635,0.5807513388410671,43966,1923,8,True,True,0.6598507937952054,0.7454545454545454
0.8373644844095933,0.3242962770787391,0.5750819822274942,43487,1876,9,True,True,0.1577482925931887,0.743056943056943
0.8508406433413357,0.3888354186717998,0.5773256039094156,41128,1556,10,True,True,0.1532289437852557,0.7592601842601843
0.7901909459803522,0.2686567164179104,0.4327969841705633,42566,1588,11,True,True,0.0751538786825165,0.7864094239094239
0.8520591226287375,0.4896030245746692,0.4977194835126903,49820,1796,12,True,True,0.0613408269771176,0.7909457209457209
0.7469825757127525,0.1121456436931079,0.2243540848283151,48698,1602,13,True,True,0.2475255657316522,0.7436729936729938
0.8091966527957014,0.2765060240963855,0.4199485660291194,42160,1584,14,True,True,0.4637571157495256,0.7401565101565102
0.7926000883744941,0.1701658740285349,0.4003691756277345,41969,1935,15,True,True,0.2357216040410779,0.7642407592407593
0.8416526792554967,0.284159075760942,0.5303404981098286,44653,1902,16,True,True,0.1832351689696101,0.6941658341658342
0.8074605332722019,0.1644149301580032,0.4593072223629039,42833,1560,17,True,True,0.1861415263932015,0.7041123582300053
0.8797571701937006,0.4617834394904458,0.491171374333765,37830,1338,18,True,True,0.2135871001850383,0.7205359346535818
0.8628817484876363,0.3403508771929824,0.4454727465444731,37121,1250,19,True,True,0.2105816114867595,0.7033930775107246
0.8709666091662072,0.3875843454790823,0.4521105728291027,39992,1299,20,True,True,0.1413032606521304,0.6363601104777576
0.8831438431626867,0.4819383259911894,0.4970461714814222,41254,1225,21,True,True,0.0600911426770737,0.634628312863607
0.8687958210517039,0.467870036101083,0.4962891676649772,40849,1294,22,True,True,0.0327058189918969,0.6233031674208146
0.904711169173516,0.5867828612926652,0.5951711675049458,40979,1462,23,True,True,0.0623734107713707,0.6804460245636716
